,BUILDINGID,wathtot,time
432,0066,519.0,2021-11-19T15:00:01.399528Z
433,0067,760000.0,2021-11-19T15:00:01.399528Z
434,0068,1191000.0,2021-11-19T15:00:01.399528Z
435,0069,3615.0,2021-11-19T15:00:01.399528Z
436,006a,359000.0,2021-11-19T15:00:01.399528Z
437,0071,236000.0,2021-11-19T15:00:01.399528Z
438,0072,88000.0,2021-11-19T15:00:01.399528Z
439,0073,127000.0,2021-11-19T15:00:01.399528Z
440,0074,106000.0,2021-11-19T15:00:01.399528Z
441,0075,377000.0,2021-11-19T15:00:01.399528Z
442,0076,245000.0,2021-11-19T15:00:01.399528Z
443,0077,100000.0,2021-11-19T15:00:01.399528Z
444,0080,285000.0,2021-11-19T15:00:01.399528Z
445,0081,628000.0,2021-11-19T15:00:01.399528Z
446,0083,314000.0,2021-11-19T15:00:01.399528Z
447,0084,361000.0,2021-11-19T15:00:01.399528Z
448,0085,215000.0,2021-11-19T15:00:01.399528Z
449,0086,234000.0,2021-11-19T15:00:01.399528Z
450,0087,907000.0,2021-11-19T15:00:01.399528Z
451,0088,102000.0,2021-11-19T15:00:01.399528Z
452,0089,163000.0,2021-11-19T15:00:01.399528Z
453,008b,4750000.0,2021-11-19T15:00:01.399528Z
454,0090,210000.0,2021-11-19T15:00:01.399528Z
455,0091,216000.0,2021-11-19T15:00:01.399528Z
456,0092,276000.0,2021-11-19T15:00:01.399528Z
457,0093,259000.0,2021-11-19T15:00:01.399528Z
458,0094,321000.0,2021-11-19T15:00:01.399528Z
459,0095,291000.0,2021-11-19T15:00:01.399528Z
460,0096,151000.0,2021-11-19T15:00:01.399528Z
461,0097,326000.0,2021-11-19T15:00:01.399528Z
462,0098,293.0,2021-11-19T15:00:01.399528Z
463,0099,398000.0,2021-11-19T15:00:01.399528Z
464,009a,8089000.0,2021-11-19T15:00:01.399528Z
465,0100,113000.0,2021-11-19T15:00:01.399528Z
466,0101,301000.0,2021-11-19T15:00:01.399528Z
467,0102,227000.0,2021-11-19T15:00:01.399528Z
468,0104,268000.0,2021-11-19T15:00:01.399528Z
469,0105,336000.0,2021-11-19T15:00:01.399528Z
470,0106,223000.0,2021-11-19T15:00:01.399528Z
471,0107,295000.0,2021-11-19T15:00:01.399528Z
472,0111,11421000.0,2021-11-19T15:00:01.399528Z
473,0113,2842000.0,2021-11-19T15:00:01.399528Z
474,0114,1157000.0,2021-11-19T15:00:01.399528Z
475,0115,461000.0,2021-11-19T15:00:01.399528Z
476,0117,3387000.0,2021-11-19T15:00:01.399528Z
477,0118,2236000.0,2021-11-19T15:00:01.399528Z
478,0121,1465000.0,2021-11-19T15:00:01.399528Z
479,0123,1377000.0,2021-11-19T15:00:01.399528Z
480,0124,3630000.0,2021-11-19T15:00:01.399528Z
481,0128,554000.0,2021-11-19T15:00:01.399528Z
482,0130,113000.0,2021-11-19T15:00:01.399528Z
483,0151,1229.0,2021-11-19T15:00:01.399528Z
484,016a,1050000.0,2021-11-19T15:00:01.399528Z
485,0194,241000.0,2021-11-19T15:00:01.399528Z
486,0201,3356000.0,2021-11-19T15:00:01.399528Z
487,0202,4536000.0,2021-11-19T15:00:01.399528Z
488,026a,486000.0,2021-11-19T15:00:01.399528Z
489,109a,306000.0,2021-11-19T15:00:01.399528Z
490,109b,323000.0,2021-11-19T15:00:01.399528Z
